country,time,latitude,longitude,yield
Russia,1960-05-02T17:29:26Z,59.1655805,35.3248919,92
France,2000-01-30T03:26:12Z,43.4903429,5.3378155,3
China,1985-09-26T13:52:58Z,39.263105,117.580995,74
United States,2004-10-27T13:26:14Z,34.0051492,-81.0488996,33
China,1949-04-03T07:18:07Z,30.03495,107.122289,91
United States,2005-06-17T21:38:21Z,29.9108312,-95.6563119,40
China,2001-05-17T14:06:45Z,30.070453,115.944218,31
China,1987-08-25T19:03:36Z,30.0705556,105.5825,18
United States,2013-06-25T09:08:32Z,36.164846,-115.155709,89
China,2004-11-29T01:17:21Z,39.296173,113.690698,33
Russia,1971-10-16T20:18:51Z,44.7522462,41.6009212,1
France,2003-02-08T12:31:16Z,43.7441795,2.511999,77
China,1960-01-07T05:10:02Z,27.829795,112.944026,47
China,1949-01-22T17:59:50Z,34.000317,115.319842,24
China,1957-03-20T19:08:37Z,29.289648,120.241565,14
China,1999-09-15T19:40:17Z,24.44218,114.938684,70
Russia,1948-08-03T08:22:34Z,46.1327339,38.9644692,39
China,2017-01-14T02:27:49Z,29.2813,117.22473,8
China,1949-01-30T02:06:41Z,29.803849,118.862331,92
China,1945-09-04T13:22:22Z,27.692542,111.664316,22
Russia,1982-12-14T13:49:55Z,46.711547,38.2755861,1
China,1952-09-19T14:32:37Z,30.645019,114.282194,61
China,1965-02-08T14:10:34Z,30.677233,121.015142,14
China,2006-10-31T16:54:18Z,34.073572,100.695534,3
Russia,2013-09-29T01:25:19Z,47.1284352,42.4543661,73
China,1954-11-03T17:12:51Z,35.963912,105.729085,51
France,1985-12-06T13:24:42Z,43.555403,1.503894,52
China,1991-08-01T05:23:41Z,24.804061,118.609289,33
China,2015-02-25T16:12:08Z,28.452686,110.393844,56
China,2003-08-23T11:30:37Z,36.608183,101.808485,90
China,1996-10-24T22:48:34Z,36.994225,99.598035,66
Russia,1955-01-02T16:00:34Z,59.0842105,159.9541642,34
China,1979-03-05T12:35:04Z,22.410005,111.430057,26
China,1969-08-04T16:25:25Z,39.997756,116.190434,67
Russia,1996-02-09T21:46:38Z,44.0088432,39.192149,66
China,1953-11-17T05:10:03Z,22.8207764,113.0239776,69
Russia,1970-07-01T07:24:01Z,52.0108,86.5467,77
China,1984-09-29T20:44:30Z,44.387458,-69.586443,70
China,1962-09-03T20:12:41Z,22.533583,113.968498,84
China,1942-11-05T23:35:55Z,39.918983,116.47861,59
Russia,2013-11-23T09:04:19Z,50.1987725,39.5632497,40
France,2013-08-05T13:21:44Z,48.689836,6.17445,37
