country,year,militaryExpenditures,militaryPersonnel,energyConsumption,population
USA,1816,3823,17,254,8659
USA,1817,2466,15,277,8899
USA,1818,1910,14,302,9139
USA,1819,2301,13,293,9379
USA,1820,1556,15,303,9618
USA,1821,1612,11,321,9939
USA,1822,1079,10,332,10268
USA,1823,1170,11,345,10596
USA,1824,1261,11,390,10924
USA,1825,1336,11,424,11252
USA,1826,1658,12,502,11580
USA,1827,1663,12,556,11909
USA,1828,1622,11,609,12237
USA,1829,1678,12,686,12565
USA,1830,1687,12,799,12901
USA,1831,1835,11,864,13321
USA,1832,1896,12,1154,13742
USA,1833,2445,13,1348,14162
USA,1834,2073,13,1291,14582
USA,1835,2001,14,1650,15003
USA,1836,2571,17,1807,15423
USA,1837,3121,22,2027,15843
USA,1838,3083,18,1922,16264
USA,1839,2012,19,2159,16684
USA,1840,2755,22,2244,17120
USA,1841,3042,21,2374,17733
USA,1842,3011,23,2643,18345
USA,1843,1364,21,2967,18957
USA,1844,2432,21,3557,19569
USA,1845,3534,21,4284,20182
USA,1846,9506,39,4863,20794
USA,1847,7431,58,5767,21406
USA,1848,8106,60,6424,22018
USA,1849,3558,23,6976,22631
USA,1850,4302,21,7607,23261
USA,1851,3525,21,9438,24086
USA,1852,4226,21,10270,24911
USA,1853,4605,21,11570,25736
USA,1854,5765,21,13632,26561
USA,1855,5892,26,14651,27386
USA,1856,6117,26,15378,28212
USA,1857,7499,27,15779,29037
USA,1858,7297,29,16015,29862
USA,1859,5638,29,17435,30687
USA,1860,7060,28,18282,31513
USA,1861,95362,217,17660,32351
USA,1862,136769,673,18366,33188
USA,1863,119662,960,21157,34026
USA,1864,157390,1032,22597,34863
USA,1865,30471,1063,22658,35701
USA,1866,17821,77,26846,36538
USA,1867,30698,75,28027,37376
USA,1868,20154,66,31646,38213
USA,1869,16559,52,35983,39051
USA,1870,13128,50,37779,39905
USA,1871,11811,42,39546,40938
USA,1872,14246,42,48479,41972
USA,1873,15014,43,53674,43006
USA,1874,12899,44,51736,44040
USA,1875,11720,38,52194,45073
USA,1876,10749,41,51080,46107
USA,1877,9074,34,56754,47141
USA,1878,11367,36,55588,48174
USA,1879,10527,38,67742,49208
USA,1880,11414,38,76969,50262
USA,1881,11973,38,81416,51542
USA,1882,13040,38,91087,52821
USA,1883,11425,37,97750,54100
USA,1884,11438,39,102689,55379
USA,1885,9748,39,103359,56658
USA,1886,10382,39,107964,57938
USA,1887,10765,39,123077,59217
USA,1888,12647,39,139275,60496
USA,1889,13195,39,133959,61775
USA,1890,14788,39,150826,63056
USA,1891,15315,38,162044,64361
USA,1892,15654,39,171105,65666
USA,1893,16964,39,172586,66970
USA,1894,16001,42,161748,68275
USA,1895,15187,42,182744,69580
USA,1896,16382,42,183531,70885
USA,1897,30249,44,190740,72189
USA,1898,60011,236,207271,73494
USA,1899,38588,100,236406,74799
USA,1900,41481,126,256081,76094
USA,1901,36087,112,280242,77584
USA,1902,39722,111,300106,79163
USA,1903,43814,106,356268,80632
USA,1904,47918,110,353388,82166
USA,1905,45098,108,397156,83822
USA,1906,43602,112,419190,85450
USA,1907,58725,108,487862,87008
USA,1908,54189,129,432351,88710
USA,1909,56177,142,478835,90490
USA,1910,55880,139,523027,92407
USA,1911,57157,145,521004,93863
USA,1912,58992,153,557076,95335
USA,1913,62825,155,600107,97225
USA,1914,253205,166,556778,99111
USA,1915,257648,174,580731,100546
USA,1916,277421,179,646120,101961
USA,1917,658584,644,710959,103268
USA,1918,7014226,2897,743925,103208
USA,1919,11217796,1173,648393,104514
USA,1920,1657118,343,743808,106461
USA,1921,1116342,387,622541,108538
USA,1922,860853,270,641311,110049
USA,1923,678256,247,834889,111947
USA,1924,570142,261,762070,114109
USA,1925,589706,252,790029,115829
USA,1926,558004,247,852304,117397
USA,1927,596501,249,842978,119035
USA,1928,678100,251,833446,120509
USA,1929,701300,255,903141,121767
USA,1930,699200,256,814891,123188
USA,1931,698900,253,709367,124149
USA,1932,641600,245,612400,124949
USA,1933,570400,244,649968,125690
USA,1934,803100,247,689998,126485
USA,1935,806400,252,721900,127362
USA,1936,932600,291,825460,128181
USA,1937,1032900,312,869666,128961
USA,1938,1131499,323,751346,129969
USA,1939,980000,334,829091,131028
USA,1940,1657000,458,939812,132122
USA,1941,6301000,1801,1031214,133402
USA,1942,26001000,3859,1103469,134860
USA,1943,72109000,9045,1169553,136739
USA,1944,87000000,11452,1247643,138397
USA,1945,90000000,12123,1219068,139928
USA,1946,45133984,3030,1188144,141389
USA,1947,14315999,1583,1315777,144126
USA,1948,10960998,1446,1396394,147208
USA,1949,13503000,1615,1199344,149767
USA,1950,14559000,1460,1241836,152271
USA,1951,33398000,3249,1325948,154878
USA,1952,47852000,3636,1309824,157553
USA,1953,49621008,3555,1347597,160184
USA,1954,42786000,3302,1302449,163026
USA,1955,40518000,2935,1415958,165931
USA,1956,41773008,2806,1492506,168903
USA,1957,44548000,2796,1494767,171984
USA,1958,45503008,2411,1437859,174882
USA,1959,46614000,2328,1513627,177830
USA,1960,45380000,2306,1421218,180671
USA,1961,47808000,2307,1447002,183691
USA,1962,52381008,2807,1508570,186538
USA,1963,52295008,2700,1589655,189242
USA,1964,51213008,2687,1610682,191889
USA,1965,51827008,2660,1700357,194303
USA,1966,67572000,3090,1784048,196560
USA,1967,75448000,3380,1903194,198712
USA,1968,80732000,3550,2094353,200706
USA,1969,81446000,3460,2198902,202677
USA,1970,77827008,3070,2276904,205052
USA,1971,74862000,2720,2311854,207661
USA,1972,77639000,2323,2396418,209896
USA,1973,78385000,2206,2490304,211909
USA,1974,85906000,2146,2430725,213854
USA,1975,90948000,2098,2393766,215973
USA,1976,91013000,2075,2536257,218035
USA,1977,100925000,2060,2619481,220239
USA,1978,109247000,2060,2612982,222585
USA,1979,122279000,2033,2659868,225055
USA,1980,143981000,2050,2584210,227726
USA,1981,169888000,2101,2502657,229966
USA,1982,196345000,2168,2380353,232188
USA,1983,217198000,2201,2378677,234307
USA,1984,237052000,2222,2467563,236348
USA,1985,245154000,2244,2466405,238466
USA,1986,265480000,2269,2468629,240651
USA,1987,273966000,2280,2561765,242804
USA,1988,281935000,2250,2669996,245021
USA,1989,294880000,2240,2745073,247342
USA,1990,289755000,2180,2798225,249907
USA,1991,262389000,2110,2827021,252618
USA,1992,286892000,1920,2856725,255391
USA,1993,297600000,1810,2921265,258132
USA,1994,293214000,1710,2962511,260602
USA,1995,277834000,1620,2996708,262755
USA,1996,277254000,1570,3055692,265284
USA,1997,276324000,1530,3114015,267901
USA,1998,279702000,1510,3126886,274028
USA,1999,292147000,1490,3161089,276218
USA,2000,303136000,1366,3283713,278357
USA,2001,322365000,1368,3184088,285112
USA,2002,348555000,1414,3227356,290270
USA,2003,404920000,1427,3243291,292883
USA,2004,455908000,1450,3267987,295487
USA,2005,495326000,1474,3267376,298166
USA,2006,521840000,1546,3245355,300943
USA,2007,552568000,1506,3309846,303787
USA,2008,616073000,1498,3258569,306657
USA,2009,662049000,1540,3108946,309492
USA,2010,693600000,1580,3211935,312247
USA,2011,687000000,1564,3206262,314912
USA,2012,655388000,1569,3159873,317505
GBR,1816,16942,255,22528,19520
GBR,1817,16088,190,22994,19814
GBR,1818,15039,173,23465,20105
GBR,1819,12453,143,24000,20389
GBR,1820,11748,144,24498,20686
GBR,1821,10225,139,25009,21008
GBR,1822,9335,125,25517,21339
GBR,1823,9783,125,26095,21666
GBR,1824,10386,132,26622,21978
GBR,1825,10568,132,27159,22281
GBR,1826,11475,149,27703,22576
GBR,1827,10941,155,28273,22872
GBR,1828,9459,155,28889,23190
GBR,1829,9559,148,29493,23505
GBR,1830,8491,140,29988,23815
GBR,1831,8903,150,30981,24135
GBR,1832,9332,145,31503,24373
GBR,1833,8184,144,32261,24602
GBR,1834,7919,137,33180,24862
GBR,1835,7147,136,34459,25134
GBR,1836,7721,143,35474,25316
GBR,1837,8448,143,36676,25651
GBR,1838,8531,155,37976,25904
GBR,1839,9737,159,39345,26199
GBR,1840,10028,168,40982,26488
GBR,1841,10730,173,41939,26751
GBR,1842,10836,184,42193,27004
GBR,1843,10581,158,44151,27256
GBR,1844,10032,185,45875,27525
GBR,1845,11869,178,48618,27776
GBR,1846,13117,191,50672,28002
GBR,1847,14680,193,51972,27972
GBR,1848,14883,208,53858,27820
GBR,1849,12008,203,56525,27714
GBR,1850,11606,201,59236,27524
GBR,1851,10941,198,61848,27393
GBR,1852,10132,201,64765,27448
GBR,1853,9140,213,67382,27542
GBR,1854,76329,234,70914,27658
GBR,1855,36520,329,71561,27822
GBR,1856,32369,382,73272,28011
GBR,1857,18866,272,75317,28187
GBR,1858,19531,292,73912,28390
GBR,1859,24324,315,75908,28591
GBR,1860,25007,347,80738,28778
GBR,1861,26032,316,81520,28976
GBR,1862,23575,305,82989,29245
GBR,1863,22204,312,87608,29471
GBR,1864,21878,290,90450,29681
GBR,1865,20976,296,93014,29925
GBR,1866,20828,286,95236,30148
GBR,1867,26133,283,95812,30409
GBR,1868,27264,279,97358,30690
GBR,1869,22194,270,100633,30978
GBR,1870,19917,257,103698,31257
GBR,1871,16177,241,108646,31556
GBR,1872,19853,254,112120,31874
GBR,1873,20867,252,117821,32177
GBR,1874,20839,248,115524,32501
GBR,1875,21098,245,120906,32839
GBR,1876,22307,244,120198,33200
GBR,1877,25051,251,121069,33576
GBR,1878,25926,261,119929,33943
GBR,1879,25121,260,120249,34304
GBR,1880,21448,248,131039,34623
GBR,1881,22350,247,138269,34934
GBR,1882,24028,247,139087,35206
GBR,1883,24410,239,144374,35450
GBR,1884,27051,240,140583,35724
GBR,1885,38021,256,139339,36015
GBR,1886,29412,265,137935,36313
GBR,1887,27740,273,141800,36598
GBR,1888,27136,273,147484,36881
GBR,1889,28990,275,152628,37178
GBR,1890,29602,278,156388,37485
GBR,1891,29742,281,158759,37802
GBR,1892,31871,288,156213,38134
GBR,1893,29824,294,139713,38490
GBR,1894,33168,302,159644,38859
GBR,1895,35743,309,161765,39221
GBR,1896,35253,315,165596,39599
GBR,1897,35187,319,170127,39987
GBR,1898,38741,331,170616,40381
GBR,1899,63547,331,183524,40774
GBR,1900,119587,487,185652,41155
GBR,1901,116896,521,181916,41538
GBR,1902,93419,489,188800,41893
GBR,1903,66400,416,189999,42247
GBR,1904,59715,409,190787,42610
