country,year,militaryExpenditures,militaryPersonnel,energyConsumption,population
USA,1945,90000000,12123,1219068,139928
USA,1946,45133984,3030,1188144,141389
USA,1947,14315999,1583,1315777,144126
USA,1948,10960998,1446,1396394,147208
USA,1949,13503000,1615,1199344,149767
USA,1950,14559000,1460,1241836,152271
USA,1951,33398000,3249,1325948,154878
USA,1952,47852000,3636,1309824,157553
USA,1953,49621008,3555,1347597,160184
USA,1954,42786000,3302,1302449,163026
USA,1955,40518000,2935,1415958,165931
USA,1956,41773008,2806,1492506,168903
USA,1957,44548000,2796,1494767,171984
USA,1958,45503008,2411,1437859,174882
USA,1959,46614000,2328,1513627,177830
USA,1960,45380000,2306,1421218,180671
USA,1961,47808000,2307,1447002,183691
USA,1962,52381008,2807,1508570,186538
USA,1963,52295008,2700,1589655,189242
USA,1964,51213008,2687,1610682,191889
USA,1965,51827008,2660,1700357,194303
USA,1966,67572000,3090,1784048,196560
USA,1967,75448000,3380,1903194,198712
USA,1968,80732000,3550,2094353,200706
USA,1969,81446000,3460,2198902,202677
USA,1970,77827008,3070,2276904,205052
USA,1971,74862000,2720,2311854,207661
USA,1972,77639000,2323,2396418,209896
USA,1973,78385000,2206,2490304,211909
USA,1974,85906000,2146,2430725,213854
USA,1975,90948000,2098,2393766,215973
USA,1976,91013000,2075,2536257,218035
USA,1977,100925000,2060,2619481,220239
USA,1978,109247000,2060,2612982,222585
USA,1979,122279000,2033,2659868,225055
USA,1980,143981000,2050,2584210,227726
USA,1981,169888000,2101,2502657,229966
USA,1982,196345000,2168,2380353,232188
USA,1983,217198000,2201,2378677,234307
USA,1984,237052000,2222,2467563,236348
USA,1985,245154000,2244,2466405,238466
USA,1986,265480000,2269,2468629,240651
USA,1987,273966000,2280,2561765,242804
USA,1988,281935000,2250,2669996,245021
USA,1989,294880000,2240,2745073,247342
USA,1990,289755000,2180,2798225,249907
USA,1991,262389000,2110,2827021,252618
USA,1992,286892000,1920,2856725,255391
USA,1993,297600000,1810,2921265,258132
USA,1994,293214000,1710,2962511,260602
USA,1995,277834000,1620,2996708,262755
USA,1996,277254000,1570,3055692,265284
USA,1997,276324000,1530,3114015,267901
USA,1998,279702000,1510,3126886,274028
USA,1999,292147000,1490,3161089,276218
USA,2000,303136000,1366,3283713,278357
USA,2001,322365000,1368,3184088,285112
USA,2002,348555000,1414,3227356,290270
USA,2003,404920000,1427,3243291,292883
USA,2004,455908000,1450,3267987,295487
USA,2005,495326000,1474,3267376,298166
USA,2006,521840000,1546,3245355,300943
USA,2007,552568000,1506,3309846,303787
USA,2008,616073000,1498,3258569,306657
USA,2009,662049000,1540,3108946,309492
GBR,1945,17002048,5090,210425,49182
GBR,1946,17753616,2053,214896,49217
GBR,1947,6656196,1302,223696,49520
GBR,1948,3438984,847,233072,50026
GBR,1949,3137333,770,237129,50324
GBR,1950,2376154,689,190014,50616
GBR,1951,3215782,826,211603,50562
GBR,1952,4340931,872,214654,50723
GBR,1953,4582745,865,221983,50862
GBR,1954,4409778,839,226613,51046
GBR,1955,4363684,809,232194,51199
GBR,1956,4527611,761,232317,51406
GBR,1957,4383177,702,226407,51632
GBR,1958,4469098,614,221539,51842
GBR,1959,4452225,565,216779,52128
GBR,1960,4633255,519,235677,52372
GBR,1961,4791138,475,241081,52807
GBR,1962,5092642,475,240903,53292
GBR,1963,5239560,450,247799,53625
GBR,1964,5592841,435,248282,53991
GBR,1965,5832633,425,254766,54350
GBR,1966,6032499,425,256902,54643
GBR,1967,6348674,425,244888,54959
GBR,1968,5611164,410,313904,55214
GBR,1969,5489866,390,330825,55461
GBR,1970,5866538,390,347407,55632
GBR,1971,6853483,370,359144,55928
GBR,1972,8151113,370,349523,56097
GBR,1973,8612065,377,366779,56223
GBR,1974,9730994,359,354731,56236
GBR,1975,11475228,348,342314,56226
GBR,1976,11076590,337,349764,56216
GBR,1977,11886891,326,346357,56190
GBR,1978,14618042,320,352032,56178
GBR,1979,19175649,324,366384,56240
GBR,1980,26757385,330,337510,56330
GBR,1981,25691234,341,319707,56352
GBR,1982,24169041,335,309737,56318
GBR,1983,24873196,333,312818,56377
GBR,1984,23294855,336,284477,56506
GBR,1985,24200000,334,318498,56685
GBR,1986,27344000,331,325916,56852
GBR,1987,31774000,328,334223,57009
GBR,1988,31910000,324,336596,57158
GBR,1989,31270000,318,343703,57358
GBR,1990,38520000,308,333429,57561
GBR,1991,40430000,301,345284,57801
GBR,1992,42330000,293,341540,58006
GBR,1993,34020000,271,346078,58191
GBR,1994,35409000,257,347376,58395
GBR,1995,33406000,233,349363,58606
GBR,1996,35266000,221,367380,58801
GBR,1997,35736000,218,359898,58200
GBR,1998,38093000,218,361161,58649
GBR,1999,36368000,218,360862,58744
GBR,2000,35655000,212,370218,58830
GBR,2001,34714000,211,364927,59113
GBR,2002,38141000,210,362691,59432
GBR,2003,43311000,213,367800,59698
GBR,2004,50120000,209,374852,59984
GBR,2005,56922000,206,368764,60291
GBR,2006,59926000,217,360640,60621
GBR,2007,63258000,191,356785,60970
GBR,2008,60794000,181,355688,61333
GBR,2009,59131000,160,326613,61701
FRA,1945,1230509,578,45663,39700
FRA,1946,1257334,578,70062,40280
FRA,1947,1844090,580,76580,40640
FRA,1948,910344,577,80735,41044
FRA,1949,1246614,588,92822,41400
FRA,1950,1489278,595,81344,41736
FRA,1951,2199999,620,93400,42056
FRA,1952,3018000,655,95592,42360
FRA,1953,3490000,699,92209,42652
FRA,1954,3428000,745,95660,43057
FRA,1955,2948000,802,98982,43428
FRA,1956,3653000,856,110168,43843
FRA,1957,3692000,913,109639,44311
FRA,1958,3620000,961,111257,44789
FRA,1959,3646000,992,110341,45240
FRA,1960,3897000,1025,114638,45684
FRA,1961,4128544,720,123162,46163
FRA,1962,4517387,705,129914,46998
FRA,1963,4670207,735,142992,47816
FRA,1964,4964419,690,151682,48310
FRA,1965,5167691,585,159093,48758
FRA,1966,5446060,580,163383,49164
FRA,1967,5881679,595,175535,49548
FRA,1968,5896937,570,195043,49914
FRA,1969,5761015,570,213215,50315
FRA,1970,5933017,570,234993,50768
FRA,1971,6296947,565,243171,51249
FRA,1972,7531669,560,256787,51703
FRA,1973,9493489,581,282083,52131
FRA,1974,9954053,585,272560,52492
FRA,1975,13034714,585,242028,52699
FRA,1976,13369110,585,275021,52909
FRA,1977,15015875,584,271366,53145
FRA,1978,18874092,581,278029,53376
FRA,1979,22667529,578,303050,53606
FRA,1980,26424988,575,275971,53880
FRA,1981,23867415,575,243619,54182
FRA,1982,22523616,578,224776,54480
FRA,1983,21654890,578,215199,54728
FRA,1984,20212036,571,216305,55026
FRA,1985,16716000,563,217039,55284
FRA,1986,24230000,558,211758,55547
FRA,1987,29580000,559,204693,55824
FRA,1988,30700000,558,209260,56118
FRA,1989,28580000,558,224036,56423
FRA,1990,34790000,554,233006,56735
FRA,1991,37340000,554,249514,57055
FRA,1992,34870000,542,242844,57374
FRA,1993,37200000,506,244071,57654
FRA,1994,45184000,506,238461,57900
FRA,1995,47768000,504,248004,58139
FRA,1996,47401000,501,265647,58375
FRA,1997,41523000,475,263610,58607
FRA,1998,40834000,449,276189,58683
FRA,1999,37811000,421,263142,58886
FRA,2000,34053000,294,270583,59080
FRA,2001,32909000,274,272497,59454
FRA,2002,36492000,260,264703,60048
FRA,2003,46232000,259,277592,60528
FRA,2004,52704000,257,280858,61003
FRA,2005,53181000,255,282745,61445
FRA,2006,54321000,255,273570,61845
FRA,2007,60662000,255,272349,62211
FRA,2008,67185000,255,277413,62553
FRA,2009,54446000,353,255265,62888
