"Date","TP_Testing_Party","Type","Yield_in_Kilotons","Latitude_in_degrees","Longitude_in_degrees","Name_of_explosion"
"19450716","US","TOWR","21","33.675N","106.475W","TRINITY"
"19450805","US","AIRD","15","","","LITTLEBO"
"19450809","US","AIRD","21","","","FAT MAN"
"19460630","US","AIRD","21","11.000N","165.000E","ABLE"
"19460724","US","UNDW","21","","","BAKER"
"19480414","US","TOWR","37","11.000N","162.000E","XRAY"
"19480430","US","TOWR","49","11.000N","162.000E","YOKE"
"19480514","US","TOWR","18","11.000N","162.000E","ZEBRA"
"19490829","CP","TOWR","10-20","48.000N","076.000E","JOE 1"
"19510127","US","AIRD","1","37.000N","116.000w","ABLE"
"19510128","US","AIRD","8","37.000N","116.000W","BAKER"
"19510201","US","AIRD","1","37.000N","116.000W","EASY"
"19510202","US","AIRD","8","37.000N","116.000W","BAKER-2"
"19510206","US","AIRD","22","37.000N","116.000W","FOX"
"19510407","US","TOWR","70","","","DOG"
"19510420","US","TOWR","47","","","EASY"
"19510508","US","TOWR","225","","","GEORGE"
"19510524","US","TOWR","45.5","","","ITEM"
"19510924","CP","SURF","25","","","JOE 2"
"19511018","CP","ATMO","50","48.000N","076.000E","JOE 3"
"19511022","US","TOWR","l0.1","","","ABLE"
"19511028","US","AIRD","3.5","","","BAKER"
"19511030","US","AIRD","14","","","CHARLIE"
"19511101","US","AIRD","21","","","DOG"
"19511105","US","AIRD","31","","","EASY"
"19511119","US","SURF","1.2","","","SUGAR"
"19511129","US","CRAT","1.2","","","UNCLE"
"19520401","US","AIRD","1","","","ABLE"
"19520415","US","AIRD","1","","","BAKER"
"19520422","US","AIRD","31","","","CHARLIE"
"19520501","US","AIRD","19","","","DOG"
"19520507","US","TOWR","12","","","EASY"
"19520525","US","TOWR","11","","","FOX"
"19520601","US","TOWR","15","","","GEORGE"
"19520605","US","TOWR","14","","","HOW"
"19521003","GB","SHIP","","","","HURRICAN"
"19521031","US","SURF","10400","","","MIKE"
"19521115","US","AIRD","500","","","KING"
"19530317","US","TOWR","16","","","ANNIE"
"19530324","US","TOWR","24","","","NANCY"
"19530331","US","TOWR","0.2","","","RUTH"
"19530406","US","AIRD","11","","","DIXIE"
"19530411","US","TOWR","0.2","","","RAY"
"19530418","US","TOWR","23","","","BADGER"
"19530425","US","TOWR","43","","","SIMON"
"19530508","US","AIRD","27","","","ENCORE"
"19530519","US","TOWR","32","","","HARRY"
"19530525","US","ART","15","","","GRABLE"
"19530604","US","AIRD","61","","","CLIMAX"
"19530812","CP","TOWR","00-300","","","JOE 4"
"19530823","CP","ATMO","","","","JOE 5-7"
"19531014","GB","TOWR","","28S","135E","TOTEM"
"19531026","GB","TOWR","","","",""
"19540228","US","SURF","15000","","","BRAVO"
"19540326","US","BARG","11000","","","ROMEO"
"19540406","US","SURF","110","","","KOON"
"19540425","US","BARG","6900","","","UNION"
"19540504","US","BARG","13500","","","YANKEE"
"19540513","US","BARG","1690","","","NECTAR"
"19540914","CP","","","55.000N","64.000E",""
"19550218","US","AIRD","1","","","WASP"
"19550222","US","TOWR","2","","","MOTH"
"19550301","US","TOWR","7","","","TESLA"
"19550307","US","TOWR","43","","","TURK"
"19550312","US","TOWR","4","","","HORNET"
"19550322","US","TOWR","8","","","BEE"
"19550323","US","CRAT","1","","","ESS"
"19550329","US","TOWR","14","","","APPLE-1"
"19550329","US","AIRD","3","","","WASP p"
"19550406","US","AIRD","3","","","HA"
"19550409","US","TOWR","2","","","POST"
"19550415","US","TOWR","22","","","MET"
"19550505","US","TOWR","29","","","APPLE-2"
"19550515","US","TOWR","28","","","ZUCCHINI"
"19550514","US","UNDW","30","","","WIGWAM"
"19550729","CP","","5","","",""
"19550802","CP","","25","","",""
"19550921","CP","","20","","",""
"19551106","CP","AIRB","215","","",""
"19551122","CP","AIRD","1600","","",""
"19560118","US","SURF","SLIGHT","","","PROJ 56"
"19560320","CP","","","","",""
"19560330","CP","","","","",""
"19560504","US","SURF","40","","","LACROSSE"
"19560502","US","AIRD","3400","","","CHEROKE"
"19560516","GB","TOWR","","","","MOSAIC"
"19560527","US","SURF","3500","","","ZUNI"
"19560527","US","TOWR","0.19","","","YUMA"
"19560530","US","TOWR","16.8","","","ERIE"
"19560606","US","SURF","13.7","","","SEMINOLE"
"19560611","US","BARG","365","","","FLATHEAD"
"19560611","US","TOWR","8.5","","","BLACKFOO"
"19560613","US","TOWR","1.4","","","KICKAPOO"
"19560616","US","AIRD","1.9","","","OSAGE"
"19560619","GB","TOWR","","","",""
"19560621","US","TOWR","16","","","INCA"
"19560625","US","BARG","1000","","","DAKOTA"
"19560702","US","TOWR","350","","","MOHAWK"
"19560708","US","BARG","1900","","","APACHE"
"19560710","US","BARG","4500","","","NAVAJO"
"19560720","US","BARG","5000","","","TEWA"
"19560721","US","BARG","270","","","HURON"
"19560824","CP","ATMO","l1000","","",""
"19560830","CP","ATMO","g20","","",""
"19560902","CP","ATMO","","","",""
"19560910","CP","ATMO","","","",""
"19560927","GB","TOWR","g100","","","BUFFALO"
"19561004","GB","SURF","LOW","","",""
"19561011","GB","AIRD","LOW","","",""
"19561022","GB","TOWR","g100","","",""
"19561117","CP","ATMO","","","",""
"19570119","CP","ATMO","","","",""
"19570308","CP","ATMO","","","",""
"19570403","CP","ATMO","","","",""
"19570406","CP","ATMO","","","",""
"19570410","CP","ATMO","","","",""
"19570412","CP","ATMO","","","",""
"19570416","CP","ATMO","","","",""
"19570515","GB","AIRD","F300","","","GRAPPLE"
"19570528","US","TOWR","12","","","BOLTZMAN"
"19570531","GB","AIRD","720","","",""
"19570602","US","TOWR",".140","","","FRANKLIN"
"19570605","US","BALN",".0005","","","LASSEN"
"19570618","US","BALN","10","","","WILSON"
"19570619","GB","AIRD","F200","","",""
"19570624","US","BALN","37","","","PRISCILL"
"19570705","US","BALN","74","","","HOOD"
"19570715","US","TOWR","17","","","DIABLO"
"19570719","US","ROCH","2","","","JOHN"
"19570724","US","TOWR","10","","","KEPLER"
"19570725","US","BALN","9.7","","","OWENS"
"19570807","US","RC","SLIGHT","","","PASCAL-A"
"19570807","US","BALN","19","","","STOKES"
"19570810","US","TUNN","0","","","SATURN"
"19570818","US","TOWR","17","","","SHASTA"
"19570822","CP","","HIGH","","",""
"19570823","US","BALN","11","","","DOPPLER"
"19570827","US","RC","","","","PASCAL-B"
"19570830","US","BALN","4.7","","","FRANKLIN"
"19570831","US","TOWR","44","","","SMOKY"
"19570902","US","TOWR","11","","","GALILEO"
"19570906","US","BALN",".197","","","WHEELER"
"19570906","US","SURF","0.3","","","COLOUMBB"
"19570908","US","BALN","1","","","LAPLACE"
"19570914","US","TOWR","11","","","FIZEAU"
"19570914","GB","TOWR","l20","","","ANTLER"
"19570916","US","BALN","12","","","NEWTON"
"19570919","US","TUNN","1.7","","","RAINIER"
"19570923","US","TOWR","19","","","WHITNEY"
"19570924","CP","","g1000","73.000N","055.000E",""
"19570925","GB","TOWR","g100","","",""
"19570926","CP","UNDW","7-70","","",""
"19570928","US","BALN","12","","","CHARLEST"
"19571006","CP","ATMO","HIGH","73.000N","055.000E",""
"19571007","US","BALN","8","","","MORGAN"
"19571009","GB","BALN","g100","","",""
"19571010","CP","ATMO","LOW","","",""
"19571108","GB","AIRD","1800","","","GRAPPLE"
"19571206","US","RC","SLIGHT","","","PASCAL-C"
"19571209","US","SURF","0.5","","","COULOMBC"
"19571228","CP","ATMO","","","",""
"19580222","US","TUNN","l1","","","VENUS"
"19580223","CP","ATMO","g1000","73.000N","055.000E",""
"19580227","CP","ATMO","g1000","73.000N","055.000E",""
"19580227","CP","ATMO","HIGH","73.000N","055.000E",""
"19580314","US","TUNN","l1","","","URANUS"
"19580314","CP","ATMO","l1000","73.000N","055.000E",""
"19580314","CP","ATMO","l1000","","",""
"19580315","CP","ATMO","l1000","","",""
"19580320","CP","ATMO","LOW","73.000N","055.000E",""
"19580321","CP","ATMO","LOW","","",""
"19580322","CP","ATMO","g20","73.000N","055.000E",""
"19580428","US","BALN","1.7","","","YUCCA"
"19580428","GB","AIRD","g1000","","","GRAPPLE"
"19580505","US","SURF","18","","","CACTUS"
"19580511","US","BARG","1300","","","FIR"
"19580511","US","BARG","90","","","BUTTERNU"
"19580512","US","SURF","1370","","","KOA"
"19580516","US","UNDW","9","","","WAHOO"
"19580520","US","BARG","6","","","HOLLY"
"19580521","US","BARG","24","","","NUTMEG"
"19580526","US","BARG","350","","","YELLOWWO"
"19580526","US","BARG","61","","","MAGNOLIA"
"19580530","US","BARG","15","","","TOBACCO"
"19580531","US","BARG","130","","","SYCAMORE"
"19580602","US","BARG","18","","","ROSE"
"19580608","US","UNDW","9","","","UMBRELLA"
"19580610","US","BARG","195","","","MAPLE"
"19580614","US","BARG","320","","","ASPEN"
"19580614","US","BARG","1.5","","","WALNUT"
"19580618","US","BARG","10","","","LINDEN"
"19580627","US","BARG","415","","","REDWOOD"
"19580627","US","BARG","875","","","ELDER"
"19580628","US","BARG","8900","","","OAK"
"19580629","US","BARG","13","","","HICKORY"
"19580701","US","BARG","5","","","SEQUOIA"
"19580702","US","BARG","220","","","CEDAR"
"19580705","US","BARG","390","","","DOGWOOD"
"19580712","US","BARG","9300","","","POPLAR"
"19580714","US","BARG","low","","","SCAEVOLA"
"19580717","US","BARG","250","","","PISONIA"
"19580722","US","BARG","62","","","JUNIPER"
"19580722","US","BARG","195","","","OLIVE"
