"nation","time","latitude","longitude","yield"
"USA","-771984000000","33.6 N","106.5 W","19.3"
"USA","-770256000000","34.3914 N","132.4581 E","15"
"USA","-769910400000","32.77017 N","129.86567 E","21"
"USA","-741830400000","11.60 N","165.51 E","19.1"
"USA","-739756800000","11.60 N","165.51 E","20.3"
"USA","-685324800000","11.667 N","162.240 E","36.5"
"USA","-683942400000","11.622 N","162.320 E","48.7"
"USA","-682732800000","11.555 N","162.354 E","18.2"
"USSR","-641952000000","50.2 N"," 78.3 E","22"
"USA","-597369600000","36.80 N","115.95 W","1"
"USA","-597283200000","36.8 N","115.95 W","8"
"USA","-596937600000","36.8 N","115.95 W","1"
"USA","-596851200000","36.8 N","115.95 W","8"
"USA","-596505600000","36.8 N","115.95 W","22"
"USA","-591321600000","11.555 N","162.354 E","81"
"USA","-590198400000","11.668 N","162.240 E","46.7"
"USA","-588643200000","11.623 N","162.320 E","225"
"USA","-587260800000","11.672 N","162.248 E","45.5"
"USSR","-576633600000","50.2 N"," 78.3 E","38"
"USSR","-574560000000","48. N"," 76. E","41.5"
"USA","-574214400000","37.1 N","116.0 W","0.05"
"USA","-573696000000","37.1 N","116.0 W","3.5"
"USA","-573523200000","37.1 N","116.0 W","14"
"USA","-573350400000","37.1 N","116.0 W","21"
"USA","-573004800000","37.10 N","116.0 W","31.4"
"USA","-571795200000","37.15 N","116.0 W","1.2"
"USA","-560217600000","36.80 N","115.95 W","1"
"USA","-559008000000","37.1 N","116.0 W","1"
"USA","-558403200000","37.1 N","116.0 W","31"
"USA","-557625600000","37.1 N","116.0 W","19"
"USA","-557107200000","37.0 N","116.1 W","12"
"USA","-555552000000","37.10 N","116.1 W","11"
"USA","-554947200000","37.0 N","116.0 W","15"
"USA","-554601600000","37.1 N","116.1 W","14"
"UK","-544233600000","20.40 S","115.57 E","25"
"USA","-541814400000","11.669 N","162.196 E","10400"
"USA","-540518400000","11.560 N","162.354 E","500"
"USA","-529977600000","37.0 N","116.0 W","16"
"USA","-529372800000","37.10 N","116.1 W","24"
"USA","-528768000000","37.1 N","116.0 W","0.2"
"USA","-528249600000","37.1 N","116.0 W","11"
"USA","-527817600000","37.1 N","116.1 W","0.2"
"USA","-527212800000","37.1 N","116.1 W","23"
"USA","-526608000000","37.0 N","116.1 W","42.7"
"USA","-525484800000","36.8 N","116.0 W","27"
"USA","-524534400000","37.0 N","116.0 W","32"
"USA","-524016000000","36.8 N","116.0 W","15"
"USA","-523152000000","37.1 N","116.0 W","60.8"
"UK","-511747200000","28.68 S","132.34 E","10"
"UK","-510710400000","28.70 S","132.35 E","8"
"USSR","-517190400000","48. N"," 80. E","400"
"USSR","-516240000000","50 N"," 78 E","28"
"USSR","-515289600000","50 N"," 78 E","5.8"
"USSR","-514857600000","50 N"," 78 E","1.6"
"USSR","-514684800000","50 N"," 78 E","4.9"
"USA","-499910400000","11.69 N","165.27 E","15000"
"USA","-497664000000","11.69 N","165.27 E","11000"
"USA","-496713600000","11.50 N","165.36 E","110"
"USA","-495072000000","11.68 N","165.39 E","6900"
"USA","-494294400000","11.68 N","165.39 E","13500"
"USA","-493516800000","11.669 N","162.196 E","1690"
"USSR","-482803200000","53. N","53. E","40"
"USSR","-481507200000","50 N"," 78 E","0.2"
"USSR","-481334400000","50 N"," 78 E","0.03"
"USSR","-481161600000","50 N"," 78 E","2"
"USSR","-480988800000","50 N"," 78 E","4"
"USSR","-480729600000","50 N"," 78 E","0.8"
"USSR","-479779200000","50 N"," 78 E","0.0005"
"USSR","-479433600000","50 N"," 78 E","62"
"USSR","-479174400000","50 N"," 78 E","2.8"
"USSR","-478828800000","50 N"," 78 E","10"
"USA","-469238400000","37.1 N","116.0 W","1"
"USA","-468892800000","37.0 N","116.0 W","2"
"USA","-468288000000","37.15 N","116.0 W","7"
"USA","-467769600000","37.1 N","116.1 W","43"
"USA","-467337600000","37.0 N","116.0 W","4"
"USA","-466473600000","37.1 N","116.0 W","8"
"USA","-465868800000","37.10 N","116.1 W","14"
"USA","-465868800000","37.1 N","116.0 W","3"
"USA","-465177600000","36.8 N","116.0 W","3"
"USA","-464918400000","37.15 N","116.0 W","2"
"USA","-464400000000","36.8 N","115.95 W","22"
"USA","-462672000000","37.0 N","116.1 W","28.5"
"USA","-461894400000","29. N","126. W","30"
"USA","-461808000000","37.1 N","116.0 W","28"
"USSR","-455328000000","50 N"," 78 E","1.3"
"USSR","-454982400000","50 N"," 78 E","11.5"
"USSR","-454723200000","50 N"," 78 E","1.2"
"USSR","-450662400000","70.72 N","54.38 E","3.5"
"USA","-447120000000","37.0 N","115.95 W","0"
"USA","-446947200000","37.0 N","115.95 W","0"
"USA","-446774400000","37.0 N","115.95 W","0"
"USSR","-446688000000","50. N"," 83. E","250"
"USSR","-445305600000","50. N","78. E","1600"
"USA","-440380800000","37.0 N","115.95 W","0.03"
"USSR","-439084800000","47. N"," 61. E","0.3"
"USSR","-435369600000","50 N"," 78 E","13.2"
"USSR","-434592000000","50 N"," 78 E","5.5"
"USA","-431136000000","11.557 N","162.355 E","40"
"UK","-430099200000","20.23 S","115.55 E","15"
"USA","-429753600000","11.71 N","165.30 E","3800"
"USA","-429148800000","11.50 N","165.36 E","3500"
"USA","-429148800000","11.622 N","162.320 E","0.19"
"USA","-428889600000","11.543 N","162.364 E","14.9"
"USA","-428284800000","11.674 N","162.217 E","13.7"
"USA","-427852800000","11.68 N","165.39 E","365"
